IDREFPELANGGAN,ID_UNIT_USAHA,FSTREAMID,FDAYOFWEEK,FHOUR,AVG_FDVC
0110025768,011,1,2,17,74.0
014522252,014,1,3,5,3.35
0110025446,011,1,2,1,25.0
0150002883,015,1,3,17,210.0
0130018556,013,1,2,22,175.0
014529533,014,1,3,16,18.87
011520005,011,1,2,13,125.04
011586123,011,1,2,13,21.92
013535305,013,1,3,3,45.62
014517181,014,1,3,0,25.3
011575530,011,1,3,10,76.0
012525402,012,1,2,13,251.0
018521052,018,1,3,10,38.38
016579287,016,1,2,16,41.12
014564188,014,1,2,16,9546.68
011002808,011,1,2,22,968.16
022667050,022,1,2,5,2.66
02300339,023,1,2,6,45.35
013519824,013,1,2,20,130.77
03300003,033,1,2,0,281.15
012519595,012,1,3,19,37.73
02200331,022,1,3,0,166.14
02200005,022,1,3,3,490.15
02100009,021,1,2,1,2496.74
03119199,031,1,2,21,3.15
0123031634,012,1,3,19,193.13
0110025164,011,1,2,19,24.4
022667047,022,1,2,17,195.88
021667116,021,1,3,17,1379.93
02200367,022,1,2,13,57.31
012691370,012,1,3,22,57.44
03300003,033,1,2,23,491.86
0120303080,012,1,2,8,278.91
0110009156,011,1,3,19,19.0
02100358,021,1,3,15,23.57
0140019612,014,1,2,17,624.36
014525646,014,1,3,6,22.65
022667056,022,1,3,5,122.73
013537120,013,1,3,15,32.0
0130011975,013,1,3,22,60.0
014612997,014,1,2,15,45.73
0110010126,011,1,3,4,89.97
0150002663,015,1,2,7,537.0
012667932,012,1,2,20,154.13
0150019637,015,1,2,21,63.0
02200252,022,1,3,12,23.49
022667058,022,1,3,15,19.48
013586168,013,1,3,19,72.86
0130253247,013,1,2,21,129.0
014559586,014,1,2,8,17.7
0140019655,014,1,3,0,212.74
023515420,023,1,3,15,1171.38
014559512,014,1,3,20,2.24
0150005345,015,1,3,1,221.92
0120303075,012,1,3,12,10.97
0120013221,012,1,3,2,702.74
0130253707,013,1,2,2,1747.0
011537853,011,1,3,17,24.95
022514010,022,1,2,15,79.14
0190303041,019,1,2,8,3888.96
023536115,023,1,2,4,57.46
013518520,013,1,2,20,18.0
0130011454,013,1,3,21,131.47
03300008,033,1,2,12,1441.794
012515154,012,1,3,4,233.11
013518518,013,1,3,11,101.0
031757736,031,1,3,1,49.52
03115820,031,1,3,5,71.01
0110008514,011,1,3,23,359.0
0110025781,011,1,3,2,522.38
03300014,033,1,2,20,155.83
034740459,034,1,2,0,175.01
0110025422,011,1,3,4,263.0
0120303077,012,1,3,11,145.4
02200300,022,1,2,8,658.86
013764498,013,1,3,1,34.34
0120303060,012,1,2,4,224.34
023666123,023,1,3,5,93.71
023517188,023,1,3,22,116.01
012525401,012,1,3,12,69.06
022667057,022,1,2,11,72.37
0120303037,012,1,3,19,328.54
0150008943,015,1,3,23,18.76
0110010292,011,1,3,17,9.0
019547974,019,1,3,13,174.58
02300332,023,1,2,9,519.85
012618726,012,1,3,5,63.4
015535530,015,1,3,19,2.89
022514868,022,1,2,6,210.26
0120016424,012,1,3,13,3662.69
02100318,021,1,3,22,24.0
012705577,012,1,2,23,1707.31
02300324,023,1,2,2,179.94
02300094,023,1,2,13,23.16
014525645,014,1,3,13,30.02
01203030584,012,1,2,8,270.77
015552395,015,1,2,5,54.8
011531256,011,1,2,11,6.97
0150019835,015,1,2,18,0.45
0120008150,012,1,3,17,272.16
02200110,022,1,2,12,116.25
015561088,015,1,2,19,47.03
022763243,022,1,3,23,69.49
014561044,014,1,2,21,106.74
02100312,021,1,2,17,672.77
0140019652,014,1,2,7,109.35
0120016839,012,1,2,12,653.02
02100358,021,1,2,5,18.37
02100291,021,1,2,15,27.62
014535819,014,1,3,8,15.51
03300010,033,1,3,6,1427.36
0120010614,012,1,3,15,41.17
013579290,013,1,3,23,410.37
02100162,021,1,3,7,31.69
02100328,021,1,3,7,266.0
0110025724,011,1,2,15,71.0
0120303044,012,1,3,8,4890.88
014520305,014,1,3,10,26.64
021717573,021,1,2,0,31.16
014557947,014,1,3,21,134.63
0140019621,014,1,3,22,1504.0
012525136,012,1,2,10,68.27
0110025881,011,1,2,11,87.0
0130252671,013,1,2,15,72.0
0140019671,014,1,2,5,294.0
02100290,021,1,3,21,38.73
013668191,013,1,2,11,15.95
02100346,021,1,3,1,579.0
021586155,021,1,3,5,19.1
023519071,023,1,3,16,15.12
0150020609,015,1,2,17,339.0
02200330,022,1,3,6,129.91
0140019664,014,1,3,8,43.0
0120015360,012,1,2,11,215.93
0130024952,013,1,2,2,158.0
0150020191,015,1,3,17,27.0
02100037,021,1,3,1,158.92
02100088,021,1,3,4,283.29
02100340,021,1,3,19,1965.94
022536734,022,1,3,10,65.94
031667109,031,1,3,11,999.01
0110025787,011,1,2,15,30.0
03300027,033,1,3,9,90.37
012667952,012,1,3,8,231.27
0150010729,015,1,3,18,188.5
01604842,016,1,2,9,240.78
013533431,013,1,3,15,43.0
0110003595,011,1,3,19,242.0
022667062,022,1,2,5,116.23
0150004858,015,1,3,14,68.66
0130252590,013,1,3,23,768.83
02100374,021,1,3,11,317.37
0110007234,011,1,2,4,130.0
0120008126,012,1,3,17,1209.64
019523615,019,1,2,6,4.4
014552373,014,1,2,16,221.29
0110024790,011,1,3,11,91.0
0123031031,012,1,3,5,278.65
022519143,022,1,2,10,173.87
03119701,031,1,3,4,46.78
0140016077,014,1,3,16,90.0
0120025910,012,1,2,21,5790.49
02200177,022,1,2,7,766.86
0110010213,011,1,3,20,880.0
0150011953,015,1,3,4,34.0
02200257,022,1,3,20,507.61
0150019635,015,1,2,6,174.02
02200359,022,1,2,17,494.74
0140015773,014,1,2,13,565.1
0130252579,013,1,2,20,834.0
0150019829,015,1,3,18,15.48
011002805,011,1,2,18,13.0
012552880,012,1,3,18,40.25
013570485,013,1,2,5,51.57
0130253227,013,1,2,12,38.85
01203030142,012,1,2,17,67.9
022516178,022,1,3,1,38.02
034774895,034,1,2,16,326.0
0130018595,013,1,3,16,456.0
0140019651,014,1,3,21,59.44
0123031926,012,1,3,6,321.17
02200300,022,1,3,12,549.4
0130011196,013,1,2,13,54.0
0193030585,019,1,3,17,242.96
02300114,023,1,3,7,427.63
0110015366,011,1,2,18,52.0
015526819,015,1,3,21,46.12
013517576,013,1,2,20,28.74
013513967,013,1,2,21,99.0
02100050,021,1,3,7,253.01
021524255,021,1,3,12,11.48
0123031394,012,1,2,10,322.74
0150019837,015,1,3,22,32.55
014519070,014,1,3,17,184.63
015523237,015,1,2,17,64.41
012667932,012,1,3,21,126.98
022514011,022,1,2,9,38.56
018524411,018,1,2,8,284.99
02200072,022,1,3,0,105.38
022516677,022,1,3,17,200.35
02100333,021,1,2,1,175.72
02100038,021,1,3,12,1223.44
0150019491,015,1,3,11,138.17
02100021,021,1,2,19,59.07
0110011331,011,1,2,6,350.15
0150003040,015,1,2,4,573.09
018521050,018,1,3,5,3.07
0110012207,011,1,2,16,131.0
0150007067,015,1,2,4,1478.81
02100297,021,1,3,18,213.26
